RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
27211,37008561A,2016-12-09T00:00:00.000Z,204000,2016:4731
27212,370085620,1989-08-31T00:00:00.000Z,96000,533:554
27213,370085620,1990-12-14T00:00:00.000Z,102000,552:67
27214,370085700,1993-03-22T00:00:00.000Z,105000,598:741
27215,370085700,1957-03-07T00:00:00.000Z,16900,197:350
27216,370085800,2005-01-04T00:00:00.000Z,229000,1010:787
27217,370085800,1993-11-30T00:00:00.000Z,0,618:142
27218,370085800,1977-07-12T00:00:00.000Z,42000,0:0
27219,370085900,1998-10-13T00:00:00.000Z,0,735:261
27220,370085900,1998-10-13T00:00:00.000Z,54610,735:258
27221,370085900,2004-08-03T00:00:00.000Z,259900,989:75
27222,370085900,2002-05-08T00:00:00.000Z,0,851:776
27223,370085900,1976-12-02T00:00:00.000Z,37500,380:541
27224,370085990,1900-01-01T00:00:00.000Z,0,0:0
27225,370085A00,2010-08-30T00:00:00.000Z,435000,2010:3157
27226,370085A00,2002-05-10T00:00:00.000Z,365000,851:898
27227,370085A00,2006-06-23T00:00:00.000Z,480000,1092:176
27228,370085A00,2003-10-21T00:00:00.000Z,339900,941:860
27229,370085B00,2009-12-30T00:00:00.000Z,500000,2009:5588
27230,370085B00,2002-05-10T00:00:00.000Z,365000,851:898
27231,370085B00,2003-07-24T00:00:00.000Z,339900,923:301
27232,370085C00,2004-06-25T00:00:00.000Z,310000,982:235
27233,370085C00,2002-05-10T00:00:00.000Z,150000,851:901
27234,370085C00,2010-05-04T00:00:00.000Z,400000,2010:1558
27235,370085C00,2003-06-19T00:00:00.000Z,0,914:950
27236,370085D00,2002-05-10T00:00:00.000Z,150000,851:901
27237,370085D00,2003-03-03T00:00:00.000Z,319900,893:840
27238,370085E00,2003-03-05T00:00:00.000Z,319152,894:399
27239,370085E00,2002-05-10T00:00:00.000Z,365000,851:898
27240,370085F00,2013-06-24T00:00:00.000Z,389000,2013:2994
27241,370085F00,2002-10-04T00:00:00.000Z,286100,872:75
27242,370085F00,2012-08-07T00:00:00.000Z,380000,2012:3427
27243,370085F00,2004-07-19T00:00:00.000Z,346500,985:826
27244,370085F00,2002-05-10T00:00:00.000Z,365000,851:898
27245,370085G00,2003-07-02T00:00:00.000Z,349773,917:575
27246,370085G00,2012-05-07T00:00:00.000Z,0,2012:1906
27247,370085G00,2002-09-13T00:00:00.000Z,75000,868:695
27248,370085H00,2004-08-18T00:00:00.000Z,385000,991:611
27249,370085H00,2017-05-02T00:00:00.000Z,506000,2017:1613
27250,370085H00,2013-05-01T00:00:00.000Z,415000,2013:1959
27251,370085H00,2003-08-07T00:00:00.000Z,80000,927:102
27252,370085I00,2005-07-14T00:00:00.000Z,435000,1038:437
27253,370085I00,2004-10-21T00:00:00.000Z,90000,1000:972
27254,370085J00,2006-10-10T00:00:00.000Z,428000,1111:384
27255,370085J00,2003-04-11T00:00:00.000Z,80000,901:88
27256,370085J00,2004-06-17T00:00:00.000Z,356000,981:58
27257,370085K00,2002-04-05T00:00:00.000Z,75000,847:186
