geo_name,geo_sumlevel,geo_id,income_2013,income_2014,income_2015,income_2016,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Pueblo East, TX","place",16000US4859794,,,,,,,,
"Pueblo Nuevo, TX","place",16000US4859798,18190,15833,18107,19929,42900,43600,43200,58300
"Putnam, TX","place",16000US4859984,31875,31875,30625,,63300,63800,,62200
"Pyote, TX","place",16000US4859996,55179,53333,52500,65750,73000,56700,33100,55000
"Quail, TX","place",16000US4860020,12031,11875,,,1000000,1000000,,
"Quail Creek, TX","place",16000US4860026,46964,62500,52232,59444,116100,123800,142000,154500
"Quanah, TX","place",16000US4860044,30057,30175,31505,31000,38100,34400,37100,31800
"Queen City, TX","place",16000US4860080,31667,34861,35387,40461,63000,71900,73500,75500
"Quemado, TX","place",16000US4860092,41500,9205,10859,,85000,86800,86900,
"Quesada, TX","place",16000US4860098,,,,,,,,
"Quinlan, TX","place",16000US4860140,38611,38194,35707,35385,67700,65300,64400,68300
"Quintana, TX","place",16000US4860164,38750,60208,56250,61458,115600,116700,,
"Quitaque, TX","place",16000US4860176,27500,32083,32262,32237,37000,39200,47700,48100
"Quitman, TX","place",16000US4860188,36944,35875,41944,42917,97900,97500,105400,109100
"Radar Base, TX","place",16000US4860278,16196,16917,43028,,,,,
"Rafael Pena, TX","place",16000US4860290,,,,,,,,
"Ralls, TX","place",16000US4860356,32404,37321,37574,37838,47500,46900,48400,51700
"Ramireno, TX","place",16000US4860380,,,,,,,,
"Ramirez-Perez, TX","place",16000US4860408,,,,,,,,
"Ramos, TX","place",16000US4860422,16806,57708,,,114600,95000,74600,77100
"Ranchette Estates, TX","place",16000US4860458,,,,46164,,,,25600
"Ranchitos Del Norte, TX","place",16000US4860478,,,,,,,,
"Ranchitos East, TX","place",16000US4860480,12056,17031,15966,25125,23900,23700,23400,
"Ranchitos Las Lomas, TX","place",16000US4860482,38693,39450,,52500,,,,
"Rancho Alegre, TX","place",16000US4860518,22425,31591,30469,32065,14900,19000,,
"Rancho Banquete, TX","place",16000US4860529,50398,51845,,112853,81600,58900,59400,80500
"Rancho Chico, TX","place",16000US4860534,53242,52679,,52625,34600,14800,,
"Ranchos Penitas West, TX","place",16000US4860539,37656,31333,30667,32222,70900,76300,67000,65200
"Rancho Viejo, TX","place",16000US4860544,70625,77917,64575,55833,164900,172400,171500,186600
"Rancho Viejo, Starr County, TX","place",16000US4860554,62679,62650,,,114200,114100,,
"Randolph AFB, TX","place",16000US4860608,91875,90357,88250,89643,,,,
"Ranger, TX","place",16000US4860632,28871,31411,31250,29566,50000,50700,49800,49600
"Rangerville, TX","place",16000US4860644,9466,9970,,,38900,,,
"Rankin, TX","place",16000US4860668,56563,57333,56544,58750,51500,54600,57000,60500
"Ransom Canyon, TX","place",16000US4860672,102500,110179,96389,95469,212800,210400,207800,213100
"Ratamosa, TX","place",16000US4860686,,,,,,,,
"Ravenna, TX","place",16000US4860752,56875,54107,51563,54125,71700,58900,65000,70800
"Raymondville, TX","place",16000US4860836,28231,24150,20938,24167,50400,52100,49000,47600
"Realitos, TX","place",16000US4860932,15000,16053,17279,24318,32500,23700,,36000
"Redfield, TX","place",16000US4861040,22250,22188,21250,21518,30200,23800,30100,24500
"Redford, TX","place",16000US4861076,,,,,,,,
"Redland, TX","place",16000US4861124,26964,19970,40435,,47200,49900,53200,52500
"Red Lick, TX","place",16000US4861172,75729,60000,58690,64375,195700,185600,182300,198000
"Red Oak, TX","place",16000US4861196,64992,67132,67013,70250,138500,140900,142900,154000
"Redwater, TX","place",16000US4861340,46875,45000,43125,44327,96100,98400,91200,83800
"Redwood, TX","place",16000US4861352,48250,44925,47778,47393,54400,47800,54700,59200
"Refugio, TX","place",16000US4861436,36737,36250,36318,47039,58100,63500,72900,69200
"Regino Ramirez, TX","place",16000US4861454,,,16645,,,,,
"Reid Hope King, TX","place",16000US4861466,22100,22463,20660,26042,73700,59500,72300,57400
"Reklaw, TX","place",16000US4861508,42045,32679,32431,32344,73600,81400,59200,59700
"Relampago, TX","place",16000US4861532,,,,,,,,
"Rendon, TX","place",16000US4861568,66128,66784,77196,80610,176600,185900,194900,201400
"Reno, TX","place",16000US4861592,65278,68065,68523,60923,110200,121100,122400,127400
"Reno, Parker County, TX","place",16000US4861604,57656,55833,56463,54904,103400,106600,113000,109600
"Retreat, TX","place",16000US4861616,61250,61563,56058,55909,124000,115000,119100,130200
"Rhome, TX","place",16000US4861700,57900,65000,68125,63365,106300,107600,113300,116600
"Ricardo, TX","place",16000US4861724,70208,34000,,60357,131500,159400,,
"Rice, TX","place",16000US4861736,40750,42656,44688,50250,48600,52200,61800,72300
"Richardson, TX","place",16000US4861796,69323,70959,72427,74877,187400,190400,197100,209500
"Richland, TX","place",16000US4861820,30417,26176,27321,28750,47800,38100,41400,37500
"Richland Hills, TX","place",16000US4861844,54248,51347,50126,50481,100700,99700,107700,111000
"Richland Springs, TX","place",16000US4861880,56250,41250,37500,34643,37500,57800,55800,46500
"Richmond, TX","place",16000US4861892,45037,47110,46559,48111,96300,102700,102500,99100
"Richwood, TX","place",16000US4861904,64375,65579,66311,76917,114000,113400,124500,125200
"Riesel, TX","place",16000US4862108,40893,35750,47500,53125,76900,81300,85200,88500
"Rio Bravo, TX","place",16000US4862138,27174,29173,25574,27795,53000,66200,63200,61000
"Rio Grande City, TX","place",16000US4862168,29654,29974,29597,31066,75200,80400,80400,77800
"Rio Hondo, TX","place",16000US4862180,23611,35903,37743,37243,52900,52900,54900,60100
"Rio Vista, TX","place",16000US4862240,51667,54250,54375,54141,97900,92900,89600,94000
"Rising Star, TX","place",16000US4862252,29773,29531,31776,34464,50900,45300,45200,44300
"Rivereno, TX","place",16000US4862318,,,,,,,,
"River Oaks, TX","place",16000US4862384,45768,42622,43073,42054,87400,83800,82300,85500
"Riverside, TX","place",16000US4862408,47102,51250,46625,45972,58800,60400,81100,84200
"Riviera, TX","place",16000US4862468,31435,40313,44031,51442,34600,43100,50600,55000
"Roanoke, TX","place",16000US4862504,62317,61010,61358,62878,131800,144100,157300,216900
"Roaring Springs, TX","place",16000US4862528,33750,33333,30500,27212,31300,33300,32500,50900
"Robert Lee, TX","place",16000US4862564,29350,31159,41250,42917,66300,74800,68700,68800
"Robinson, TX","place",16000US4862588,70469,71215,72943,76316,148800,143800,142500,145900
"Robstown, TX","place",16000US4862600,34477,31435,30900,33438,56100,53600,54500,55000
"Roby, TX","place",16000US4862612,41250,37917,40511,38977,52200,46200,61800,42300
"Rochester, TX","place",16000US4862636,25417,28500,29792,27083,22500,20500,17300,15900
"Rockdale, TX","place",16000US4862672,29500,29323,34567,34886,64600,62800,64500,84200
